session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
483,2,9,0.0,0.0,0.2,0.1111111111111111,0.2,0.1111111111111111,0.2,0.1111111111111111
393,2,6,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0
108,2,9,0.2,0.1111111111111111,0.4,0.2222222222222222,0.0,0.0,0.0,0.0
509,2,9,0.0,0.0,0.6,0.3333333333333333,0.6,0.3333333333333333,0.0,0.0
375,2,5,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
107,2,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
171,2,6,0.2,0.16666666666666666,0.4,0.3333333333333333,0.0,0.0,0.0,0.0
932,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,2,4,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0
87,2,5,0.0,0.0,0.2,0.2,0.4,0.4,0.2,0.2
1158,2,7,0.4,0.2857142857142857,0.0,0.0,0.0,0.0,0.2,0.14285714285714285
1117,2,3,0.2,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
902,2,7,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285
664,2,4,0.2,0.25,0.2,0.25,0.2,0.25,0.4,0.5
429,2,3,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.2,0.3333333333333333
19,2,4,0.4,0.5,0.0,0.0,0.0,0.0,0.2,0.25
640,2,9,0.0,0.0,0.2,0.1111111111111111,0.2,0.1111111111111111,0.0,0.0
1154,2,7,0.4,0.2857142857142857,0.2,0.14285714285714285,0.0,0.0,0.2,0.14285714285714285
230,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333
1015,2,3,0.2,0.3333333333333333,0.4,0.6666666666666666,0.2,0.3333333333333333,0.2,0.3333333333333333
303,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
702,2,9,0.2,0.1111111111111111,0.6,0.3333333333333333,0.6,0.3333333333333333,0.4,0.2222222222222222
110,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
32,2,12,0.4,0.16666666666666666,0.4,0.16666666666666666,0.0,0.0,0.2,0.08333333333333333
193,2,9,0.2,0.1111111111111111,0.2,0.1111111111111111,0.0,0.0,0.2,0.1111111111111111
856,2,16,0.4,0.125,0.4,0.125,0.2,0.0625,0.2,0.0625
156,2,6,0.2,0.16666666666666666,0.4,0.3333333333333333,0.0,0.0,0.0,0.0
732,2,6,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.16666666666666666
51,2,6,0.4,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
445,2,9,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
872,2,6,0.4,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
1051,2,5,0.4,0.4,0.2,0.2,0.2,0.2,0.0,0.0
149,2,10,0.2,0.1,0.4,0.2,0.2,0.1,0.2,0.1
287,2,5,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
853,2,4,0.0,0.0,0.2,0.25,0.2,0.25,0.0,0.0
